Session Trial TargetID ImageVersion DistractorID Response Correct ResposeTime
0 1 13 2 0 0 0 0.0000
0 2 24 2 0 0 0 0.0000
0 3 12 2 0 0 0 0.0000
0 4 10 2 0 0 0 0.0000
0 5 6 1 0 0 0 0.0000
0 6 1 2 0 0 0 0.0000
0 7 2 1 0 0 0 0.0000
0 8 18 2 0 0 0 0.0000
0 9 16 2 0 0 0 0.0000
0 10 19 1 0 0 0 0.0000
0 11 23 1 0 0 0 0.0000
0 12 21 1 0 0 0 0.0000
1 1 6 2 15 1 1 3.3073
1 2 21 2 3 1 1 3.6227
1 3 1 1 20 1 0 8.7988
1 4 10 1 17 2 0 6.2976
1 5 18 1 22 1 1 2.5555
1 6 13 1 8 2 1 2.9639
1 7 19 2 9 2 1 12.5246
1 8 23 2 14 2 1 5.2576
1 9 2 2 11 1 0 13.0351
1 10 24 1 4 1 1 8.6288
1 11 12 1 5 2 1 12.3342
1 12 16 1 7 2 1 11.9621
Session Trial TargetID ImageVersion DistractorID Response Correct ResposeTime
0 1 2 2 0 0 0 0.0000
0 2 23 1 0 0 0 0.0000
