Session Trial TargetID ImageVersion DistractorID Response Correct ResposeTime
0 1 11 2 0 0 0 0.0000
0 2 1 2 0 0 0 0.0000
0 3 24 2 0 0 0 0.0000
0 4 10 2 0 0 0 0.0000
0 5 21 2 0 0 0 0.0000
0 6 14 2 0 0 0 0.0000
0 7 16 1 0 0 0 0.0000
0 8 18 2 0 0 0 0.0000
0 9 17 1 0 0 0 0.0000
0 10 7 1 0 0 0 0.0000
0 11 3 2 0 0 0 0.0000
0 12 12 1 0 0 0 0.0000
1 1 21 1 13 2 0 3.1375
1 2 1 1 23 1 1 2.8668
1 3 14 1 19 2 0 2.2374
1 4 18 1 9 1 1 2.4168
1 5 7 2 15 2 1 4.3862
1 6 3 1 8 2 1 1.9078
1 7 17 2 6 1 1 3.0611
1 8 16 2 22 1 1 2.5677
1 9 24 1 4 2 1 1.8566
1 10 12 2 5 2 1 1.8981
1 11 11 1 2 1 0 2.4098
1 12 10 1 20 2 1 3.6044
