Session Trial TargetID ImageVersion DistractorID Response Correct ResposeTime
0 1 7 1 0 0 0 0.0000
0 2 5 2 0 0 0 0.0000
0 3 24 1 0 0 0 0.0000
0 4 22 1 0 0 0 0.0000
0 5 14 2 0 0 0 0.0000
0 6 1 2 0 0 0 0.0000
0 7 21 1 0 0 0 0.0000
0 8 9 2 0 0 0 0.0000
0 9 19 2 0 0 0 0.0000
0 10 20 2 0 0 0 0.0000
0 11 11 2 0 0 0 0.0000
0 12 16 1 0 0 0 0.0000
1 1 11 1 8 2 1 5.2131
1 2 16 2 6 1 1 1.6646
1 3 19 1 18 1 1 2.6021
1 4 7 2 10 1 1 3.6642
1 5 21 2 3 2 1 5.6685
1 6 20 1 23 1 1 3.6461
1 7 22 2 17 2 1 3.0271
1 8 9 1 13 1 1 5.4651
1 9 5 1 12 1 0 5.8918
1 10 24 2 2 2 0 3.6185
1 11 1 1 15 1 1 1.3430
1 12 14 1 4 1 1 1.2979
