Session Trial TargetID ImageVersion DistractorID Response Correct ResposeTime
0 1 1 2 0 0 0 0.0000
0 2 9 2 0 0 0 0.0000
0 3 13 2 0 0 0 0.0000
0 4 8 2 0 0 0 0.0000
0 5 2 2 0 0 0 0.0000
0 6 15 2 0 0 0 0.0000
0 7 19 2 0 0 0 0.0000
0 8 17 2 0 0 0 0.0000
0 9 16 2 0 0 0 0.0000
0 10 6 2 0 0 0 0.0000
0 11 22 1 0 0 0 0.0000
0 12 21 1 0 0 0 0.0000
1 1 6 1 3 2 0 3.5720
1 2 17 1 7 1 1 1.9897
1 3 13 1 18 1 1 3.3704
1 4 16 1 10 1 0 10.3702
1 5 22 2 24 1 1 1.6979
1 6 8 1 12 2 1 3.1941
1 7 15 1 14 2 1 8.2974
1 8 1 1 5 2 0 5.7751
1 9 19 1 23 2 1 3.7216
1 10 2 1 4 1 1 4.5398
1 11 9 1 11 1 1 2.3134
1 12 21 2 20 1 1 2.7944
