Session Trial TargetID ImageVersion DistractorID Response Correct ResposeTime
0 1 12 1 0 0 0 0.0000
0 2 22 2 0 0 0 0.0000
0 3 16 2 0 0 0 0.0000
0 4 8 2 0 0 0 0.0000
0 5 11 2 0 0 0 0.0000
0 6 4 2 0 0 0 0.0000
0 7 21 1 0 0 0 0.0000
0 8 20 1 0 0 0 0.0000
0 9 17 1 0 0 0 0.0000
0 10 5 2 0 0 0 0.0000
0 11 2 1 0 0 0 0.0000
0 12 6 1 0 0 0 0.0000
1 1 8 1 24 1 1 3.1648
1 2 20 2 7 2 1 4.7321
1 3 16 1 18 1 1 4.1815
1 4 22 1 3 2 1 2.5088
1 5 6 2 19 1 0 6.0768
1 6 11 1 10 2 1 3.0929
1 7 4 1 15 1 1 4.8928
1 8 5 1 13 2 1 4.0500
1 9 12 2 23 1 1 4.3039
1 10 21 2 9 1 1 2.9395
1 11 2 2 14 1 1 4.6116
1 12 17 2 1 2 1 7.7162
