Session Trial TargetID ImageVersion DistractorID Response Correct ResposeTime
0 1 13 1 0 0 0 0.0000
0 2 5 1 0 0 0 0.0000
0 3 22 1 0 0 0 0.0000
0 4 19 2 0 0 0 0.0000
0 5 4 2 0 0 0 0.0000
0 6 17 1 0 0 0 0.0000
0 7 9 1 0 0 0 0.0000
0 8 12 1 0 0 0 0.0000
0 9 10 2 0 0 0 0.0000
0 10 14 1 0 0 0 0.0000
0 11 15 2 0 0 0 0.0000
0 12 23 1 0 0 0 0.0000
1 1 12 2 20 2 1 8.3443
1 2 13 2 18 2 0 7.6939
1 3 22 2 16 1 1 4.9188
1 4 17 2 3 2 0 12.2550
1 5 5 2 8 1 0 10.1872
1 6 9 2 1 2 1 6.0172
1 7 19 1 2 1 0 14.9325
1 8 14 2 7 1 0 9.0253
1 9 10 1 24 2 0 10.4295
1 10 15 1 21 1 0 9.7764
1 11 4 1 6 1 1 8.0072
1 12 23 2 11 2 0 19.3185
