Session Trial TargetID ImageVersion DistractorID Response Correct ResposeTime
0 1 2 1 0 0 0 0.0000
0 2 3 2 0 0 0 0.0000
0 3 6 2 0 0 0 0.0000
0 4 7 1 0 0 0 0.0000
0 5 18 1 0 0 0 0.0000
0 6 11 1 0 0 0 0.0000
0 7 4 2 0 0 0 0.0000
0 8 23 1 0 0 0 0.0000
0 9 10 2 0 0 0 0.0000
0 10 1 2 0 0 0 0.0000
0 11 12 2 0 0 0 0.0000
0 12 22 1 0 0 0 0.0000
1 1 4 1 13 1 0 6.9022
1 2 18 2 14 1 0 6.7642
1 3 6 1 19 1 1 6.0344
1 4 2 2 15 2 0 4.7397
1 5 7 2 16 2 1 8.4505
1 6 3 1 5 2 1 3.7821
1 7 12 1 9 2 1 2.7781
1 8 1 1 24 2 1 7.4974
1 9 11 2 21 1 0 2.2184
1 10 10 1 20 2 1 3.6385
1 11 22 2 8 2 1 2.6203
1 12 23 2 17 1 1 8.6503
