Session Trial TargetID ImageVersion DistractorID Response Correct ResposeTime
0 1 17 1 0 0 0 0.0000
0 2 21 1 0 0 0 0.0000
0 3 8 1 0 0 0 0.0000
0 4 3 2 0 0 0 0.0000
0 5 23 1 0 0 0 0.0000
0 6 24 2 0 0 0 0.0000
0 7 20 2 0 0 0 0.0000
0 8 5 1 0 0 0 0.0000
0 9 12 2 0 0 0 0.0000
0 10 11 2 0 0 0 0.0000
0 11 22 1 0 0 0 0.0000
0 12 15 1 0 0 0 0.0000
1 1 8 2 18 2 1 2.6193
1 2 20 1 7 2 0 4.5819
1 3 11 1 13 2 1 4.7716
1 4 12 1 2 1 1 2.5379
1 5 22 2 9 1 1 3.2332
1 6 3 1 19 1 1 6.9566
1 7 24 1 6 1 1 3.9008
1 8 17 2 10 2 1 4.7019
1 9 15 2 14 1 1 4.5229
1 10 21 2 16 2 1 11.4894
1 11 5 2 1 2 1 2.7079
1 12 23 2 4 1 1 6.7016
