Session Trial TargetID ImageVersion DistractorID Response Correct ResposeTime
0 1 16 1 0 0 0 0.0000
0 2 23 2 0 0 0 0.0000
0 3 2 1 0 0 0 0.0000
0 4 17 1 0 0 0 0.0000
0 5 19 2 0 0 0 0.0000
0 6 1 2 0 0 0 0.0000
0 7 24 1 0 0 0 0.0000
0 8 21 2 0 0 0 0.0000
0 9 3 2 0 0 0 0.0000
0 10 7 2 0 0 0 0.0000
0 11 13 2 0 0 0 0.0000
0 12 8 2 0 0 0 0.0000
1 1 7 1 15 1 1 1.4863
1 2 24 2 20 2 1 1.7454
1 3 13 1 9 1 1 2.3055
1 4 8 1 5 2 1 1.8443
1 5 16 2 4 2 1 1.7455
1 6 2 2 10 2 1 2.0348
1 7 17 2 18 2 1 3.2880
1 8 3 1 11 2 1 2.4749
1 9 23 1 22 1 1 1.8236
1 10 19 1 14 2 1 2.3176
1 11 21 1 6 1 1 1.9210
1 12 1 1 12 1 1 3.1296
