Session Trial TargetID ImageVersion DistractorID Response Correct ResposeTime
0 1 7 2 0 0 0 0.0000
0 2 16 2 0 0 0 0.0000
0 3 19 2 0 0 0 0.0000
0 4 15 1 0 0 0 0.0000
0 5 8 1 0 0 0 0.0000
0 6 22 2 0 0 0 0.0000
0 7 12 1 0 0 0 0.0000
0 8 13 2 0 0 0 0.0000
0 9 18 1 0 0 0 0.0000
0 10 11 2 0 0 0 0.0000
0 11 24 1 0 0 0 0.0000
0 12 10 1 0 0 0 0.0000
1 1 7 1 5 2 1 3.9741
1 2 19 1 2 2 1 1.8863
1 3 15 2 23 1 0 7.4495
1 4 16 1 9 2 1 6.5497
1 5 10 2 21 2 1 5.7583
1 6 11 1 1 1 1 7.1590
1 7 8 2 6 2 0 5.8718
1 8 18 2 17 1 1 1.6754
1 9 13 1 20 2 1 1.9832
1 10 22 1 4 1 0 3.3900
1 11 24 2 14 2 1 3.0934
1 12 12 2 3 2 1 3.1048
