Session Trial TargetID ImageVersion DistractorID Response Correct ResposeTime
0 1 14 1 0 0 0 0.0000
0 2 9 2 0 0 0 0.0000
0 3 21 2 0 0 0 0.0000
0 4 10 1 0 0 0 0.0000
0 5 23 1 0 0 0 0.0000
0 6 19 2 0 0 0 0.0000
0 7 20 1 0 0 0 0.0000
0 8 6 1 0 0 0 0.0000
0 9 17 1 0 0 0 0.0000
0 10 24 1 0 0 0 0.0000
0 11 13 2 0 0 0 0.0000
0 12 5 2 0 0 0 0.0000
1 1 14 2 4 2 0 4.8680
1 2 21 1 7 2 1 2.7524
1 3 23 2 16 1 1 1.4247
1 4 19 1 11 1 1 2.0697
1 5 17 2 22 2 1 2.1211
1 6 6 2 3 2 0 5.0281
1 7 20 2 15 1 1 1.5207
1 8 10 2 8 1 1 1.6825
1 9 5 1 1 2 1 2.1733
1 10 13 1 2 2 1 3.0369
1 11 24 2 18 2 1 2.0103
1 12 9 1 12 1 1 8.3830
