Session Trial TargetID ImageVersion DistractorID Response Correct ResposeTime
0 1 21 2 0 0 0 0.0000
0 2 6 1 0 0 0 0.0000
0 3 15 2 0 0 0 0.0000
0 4 3 1 0 0 0 0.0000
0 5 20 2 0 0 0 0.0000
0 6 16 2 0 0 0 0.0000
0 7 17 2 0 0 0 0.0000
0 8 12 1 0 0 0 0.0000
0 9 11 1 0 0 0 0.0000
0 10 22 1 0 0 0 0.0000
0 11 7 1 0 0 0 0.0000
0 12 13 2 0 0 0 0.0000
1 1 22 2 5 2 1 1.4761
1 2 16 1 23 1 0 1.1372
1 3 13 1 8 1 1 2.8345
1 4 17 1 24 1 1 1.7440
1 5 11 2 1 1 1 3.9774
1 6 20 1 14 2 1 1.7452
1 7 3 2 9 1 1 1.8188
1 8 7 2 4 1 1 2.4088
1 9 21 1 2 1 1 2.8154
1 10 15 1 19 2 1 3.7640
1 11 12 2 10 1 1 2.3721
1 12 6 2 18 2 1 4.7322
