Session Trial TargetID ImageVersion DistractorID Response Correct ResposeTime
0 1 9 1 0 0 0 0.0000
0 2 12 1 0 0 0 0.0000
0 3 18 2 0 0 0 0.0000
0 4 8 1 0 0 0 0.0000
0 5 2 1 0 0 0 0.0000
0 6 3 2 0 0 0 0.0000
0 7 4 2 0 0 0 0.0000
0 8 13 1 0 0 0 0.0000
0 9 7 1 0 0 0 0.0000
0 10 23 2 0 0 0 0.0000
0 11 22 2 0 0 0 0.0000
0 12 17 1 0 0 0 0.0000
1 1 8 2 19 1 1 1.6094
1 2 17 2 20 1 1 9.6238
1 3 23 1 21 1 1 3.5175
1 4 4 1 6 2 1 2.5666
1 5 13 2 16 2 1 4.9493
1 6 3 1 15 1 1 1.9008
1 7 22 1 5 2 1 1.7029
1 8 2 2 10 1 1 4.0093
1 9 18 1 11 1 1 2.1324
1 10 9 2 14 2 0 4.7489
1 11 7 2 24 1 1 1.6463
1 12 12 2 1 2 1 1.6105
