Session Trial TargetID ImageVersion DistractorID Response Correct ResposeTime
0 1 12 2 0 0 0 0.0000
0 2 8 2 0 0 0 0.0000
0 3 7 2 0 0 0 0.0000
0 4 18 2 0 0 0 0.0000
0 5 17 1 0 0 0 0.0000
0 6 10 1 0 0 0 0.0000
0 7 15 2 0 0 0 0.0000
0 8 11 1 0 0 0 0.0000
0 9 19 1 0 0 0 0.0000
0 10 14 2 0 0 0 0.0000
0 11 23 2 0 0 0 0.0000
0 12 24 1 0 0 0 0.0000
1 1 24 2 3 1 1 2.3402
1 2 11 2 1 2 1 2.0857
1 3 8 1 13 1 1 3.3047
1 4 15 1 21 2 1 1.2116
1 5 17 2 16 1 1 1.8573
1 6 19 2 22 1 1 1.2517
1 7 12 1 5 1 1 2.6558
1 8 18 1 9 2 1 1.2198
1 9 10 2 2 1 1 1.2976
1 10 23 1 4 1 1 4.7163
1 11 14 1 6 1 0 6.5177
1 12 7 1 20 1 1 1.5525
