Session Trial TargetID ImageVersion DistractorID Response Correct ResposeTime
0 1 5 2 0 0 0 0.0000
0 2 15 2 0 0 0 0.0000
0 3 17 1 0 0 0 0.0000
0 4 6 2 0 0 0 0.0000
0 5 21 2 0 0 0 0.0000
0 6 8 1 0 0 0 0.0000
0 7 10 2 0 0 0 0.0000
0 8 23 2 0 0 0 0.0000
0 9 2 1 0 0 0 0.0000
0 10 19 1 0 0 0 0.0000
0 11 9 1 0 0 0 0.0000
0 12 13 2 0 0 0 0.0000
1 1 19 2 3 1 0 5.6278
1 2 21 1 12 2 1 8.4812
1 3 8 2 7 1 1 1.6586
1 4 6 1 22 2 0 3.8711
1 5 15 1 14 2 1 5.2068
1 6 17 2 24 1 0 1.9876
1 7 23 1 1 2 1 7.3136
1 8 13 1 4 1 0 1.6659
1 9 5 1 16 1 1 6.7650
1 10 10 1 11 2 1 1.8443
1 11 9 2 18 1 1 1.3267
1 12 2 2 20 2 1 2.0210
