Session Trial TargetID ImageVersion DistractorID Response Correct ResposeTime
0 1 21 1 0 0 0 0.0000
0 2 7 1 0 0 0 0.0000
0 3 17 2 0 0 0 0.0000
0 4 4 2 0 0 0 0.0000
0 5 3 1 0 0 0 0.0000
0 6 2 1 0 0 0 0.0000
0 7 6 2 0 0 0 0.0000
0 8 19 1 0 0 0 0.0000
0 9 13 1 0 0 0 0.0000
0 10 10 2 0 0 0 0.0000
0 11 23 1 0 0 0 0.0000
0 12 15 2 0 0 0 0.0000
1 1 13 2 14 2 0 4.8608
1 2 17 1 24 2 1 4.6731
1 3 10 1 16 1 0 4.8994
1 4 7 2 9 1 1 6.9786
1 5 2 2 22 2 1 2.9934
1 6 19 2 5 1 1 3.1588
1 7 15 1 20 2 1 4.8839
1 8 6 1 11 1 1 8.8619
1 9 23 2 1 2 0 4.5142
1 10 21 2 18 1 1 8.1666
1 11 3 2 8 2 0 7.9666
1 12 4 1 12 1 0 2.6832
