Session	Trial	TargetID	ImageVersion	DistractorID	Response	Correct	ResposeTime
0	1	22	2	0	0	0	0
0	2	1	1	0	0	0	0
0	3	23	1	0	0	0	0
0	4	8	2	0	0	0	0
0	5	14	2	0	0	0	0
0	6	7	1	0	0	0	0
0	7	12	1	0	0	0	0
0	8	21	1	0	0	0	0
0	9	19	1	0	0	0	0
0	10	2	2	0	0	0	0
0	11	11	1	0	0	0	0
0	12	3	2	0	0	0	0
1	1	22	1	9	1	1	1.7953
1	2	12	2	15	1	1	2.7151
1	3	11	2	24	1	1	1.4463
1	4	19	2	20	1	1	3.4932
1	5	23	2	6	2	1	2.002
1	6	1	2	17	2	1	4.4967
1	7	7	2	13	2	1	1.5016
1	8	21	2	4	2	1	3.0416
1	9	3	1	18	2	1	2.6305
1	10	2	1	10	1	1	2.2839
1	11	14	1	5	2	1	1.7698
1	12	8	1	16	1	1	2.5137
