Session Trial TargetID ImageVersion DistractorID Response Correct ResposeTime
0 1 19 2 0 0 0 0.0000
0 2 18 1 0 0 0 0.0000
0 3 23 2 0 0 0 0.0000
0 4 3 1 0 0 0 0.0000
0 5 15 1 0 0 0 0.0000
0 6 13 2 0 0 0 0.0000
0 7 4 1 0 0 0 0.0000
0 8 7 1 0 0 0 0.0000
0 9 6 2 0 0 0 0.0000
0 10 14 1 0 0 0 0.0000
0 11 12 1 0 0 0 0.0000
0 12 24 1 0 0 0 0.0000
1 1 12 2 8 2 1 2.5213
1 2 3 2 22 2 1 2.6195
1 3 24 2 2 1 1 6.0557
1 4 6 1 10 1 1 1.8815
1 5 7 2 11 1 0 3.2698
1 6 23 1 5 1 1 4.4947
1 7 19 1 1 1 0 3.5140
1 8 14 2 9 2 0 4.4720
1 9 15 2 16 2 0 5.4839
1 10 18 2 21 2 1 6.8744
1 11 13 1 17 2 1 10.2884
1 12 4 2 20 2 0 3.0341
