Session Trial TargetID ImageVersion DistractorID Response Correct ResposeTime
0 1 21 1 0 0 0 0.0000
0 2 23 2 0 0 0 0.0000
0 3 12 1 0 0 0 0.0000
0 4 18 2 0 0 0 0.0000
0 5 5 1 0 0 0 0.0000
0 6 19 2 0 0 0 0.0000
0 7 2 2 0 0 0 0.0000
0 8 22 2 0 0 0 0.0000
0 9 9 2 0 0 0 0.0000
0 10 24 1 0 0 0 0.0000
0 11 11 2 0 0 0 0.0000
0 12 14 1 0 0 0 0.0000
1 1 18 1 8 2 1 2.7637
1 2 22 1 17 1 1 1.9637
1 3 5 2 15 2 1 2.0891
1 4 21 2 13 1 1 2.4026
1 5 12 2 1 2 1 2.1158
1 6 11 1 6 1 1 1.8131
1 7 14 2 3 2 1 2.5092
1 8 2 1 20 1 1 2.5986
1 9 24 2 4 1 1 2.4559
1 10 9 1 16 1 1 1.7375
1 11 23 1 7 2 1 1.8759
1 12 19 1 10 2 1 1.7997
