Session Trial TargetID ImageVersion DistractorID Response Correct ResposeTime
0 1 2 2 0 0 0 0.0000
0 2 23 2 0 0 0 0.0000
0 3 14 1 0 0 0 0.0000
0 4 5 1 0 0 0 0.0000
0 5 18 2 0 0 0 0.0000
0 6 13 2 0 0 0 0.0000
0 7 8 1 0 0 0 0.0000
0 8 17 1 0 0 0 0.0000
0 9 6 2 0 0 0 0.0000
0 10 22 2 0 0 0 0.0000
0 11 9 1 0 0 0 0.0000
0 12 1 1 0 0 0 0.0000
1 1 8 2 11 1 1 3.6641
1 2 5 2 4 1 1 1.9236
1 3 1 2 24 2 1 3.5582
1 4 18 1 21 1 1 2.4955
1 5 9 2 10 1 1 4.8351
1 6 14 2 7 1 1 2.5999
1 7 2 1 15 1 1 2.2864
1 8 22 1 19 1 1 2.4659
1 9 13 1 20 1 1 3.2861
1 10 6 1 3 1 1 5.2730
1 11 23 1 16 2 1 1.4289
1 12 17 2 12 1 1 5.8419
