Session Trial TargetID ImageVersion DistractorID Response Correct ResposeTime
0 1 23 1 0 0 0 0.0000
0 2 3 1 0 0 0 0.0000
0 3 18 1 0 0 0 0.0000
0 4 12 2 0 0 0 0.0000
0 5 4 1 0 0 0 0.0000
0 6 21 2 0 0 0 0.0000
0 7 20 1 0 0 0 0.0000
0 8 15 2 0 0 0 0.0000
0 9 22 1 0 0 0 0.0000
0 10 2 2 0 0 0 0.0000
0 11 6 1 0 0 0 0.0000
0 12 1 2 0 0 0 0.0000
1 1 23 2 13 1 1 11.1322
1 2 21 1 24 2 1 4.6170
1 3 3 2 5 2 1 3.9423
1 4 1 1 9 1 1 4.3090
1 5 12 1 16 2 1 2.8946
1 6 4 2 11 1 1 2.4542
1 7 18 2 7 2 1 5.5734
1 8 2 1 19 2 1 3.6347
1 9 6 2 17 1 1 3.9981
1 10 20 2 8 2 1 3.9781
1 11 22 2 10 1 1 4.5835
1 12 15 1 14 2 1 2.3556
