Session Trial TargetID ImageVersion DistractorID Response Correct ResposeTime
0 1 15 1 0 0 0 0.0000
0 2 5 2 0 0 0 0.0000
0 3 13 2 0 0 0 0.0000
0 4 2 2 0 0 0 0.0000
0 5 20 2 0 0 0 0.0000
0 6 1 1 0 0 0 0.0000
0 7 21 2 0 0 0 0.0000
0 8 22 2 0 0 0 0.0000
0 9 4 2 0 0 0 0.0000
0 10 18 2 0 0 0 0.0000
0 11 17 1 0 0 0 0.0000
0 12 6 1 0 0 0 0.0000
1 1 18 1 11 2 1 10.7661
1 2 20 1 14 2 1 5.4422
1 3 4 1 3 2 0 9.7255
1 4 2 1 9 2 1 12.3506
1 5 5 1 16 2 0 10.5804
1 6 17 2 23 1 1 7.4113
1 7 22 1 24 2 1 3.3958
1 8 6 2 10 1 1 4.0655
1 9 1 2 12 1 1 5.9715
1 10 15 2 7 1 1 8.7433
1 11 13 1 19 1 1 9.8710
1 12 21 1 8 2 1 7.9793
