Session Trial TargetID ImageVersion DistractorID Response Correct ResposeTime
0 1 16 2 0 0 0 0.0000
0 2 17 2 0 0 0 0.0000
0 3 21 1 0 0 0 0.0000
0 4 4 2 0 0 0 0.0000
0 5 11 2 0 0 0 0.0000
0 6 9 1 0 0 0 0.0000
0 7 6 2 0 0 0 0.0000
0 8 14 1 0 0 0 0.0000
0 9 12 1 0 0 0 0.0000
0 10 23 2 0 0 0 0.0000
0 11 18 1 0 0 0 0.0000
0 12 22 1 0 0 0 0.0000
1 1 14 2 10 2 1 1.3185
1 2 9 2 5 2 1 2.0747
1 3 4 1 1 2 1 2.2490
1 4 11 1 2 2 1 1.3677
1 5 18 2 8 2 1 1.2327
1 6 6 1 19 2 1 1.7524
1 7 21 2 3 1 1 2.0750
1 8 16 1 24 2 1 2.3370
1 9 22 2 7 2 1 1.2445
1 10 23 1 15 1 1 1.4987
1 11 12 2 20 1 0 7.1424
1 12 17 1 13 2 1 2.5375
