Session	Trial	TargetID	ImageVersion	DistractorID	Response	Correct	ResposeTime
0	1	15	2	0	0	0	0
0	2	21	2	0	0	0	0
0	3	12	2	0	0	0	0
0	4	2	2	0	0	0	0
0	5	18	1	0	0	0	0
0	6	13	2	0	0	0	0
0	7	4	2	0	0	0	0
0	8	7	2	0	0	0	0
0	9	6	1	0	0	0	0
0	10	22	2	0	0	0	0
0	11	5	1	0	0	0	0
0	12	14	2	0	0	0	0
1	1	6	2	24	2	1	5.4025
1	2	21	1	20	1	1	5.8434
1	3	4	1	8	1	1	1.1997
1	4	12	1	10	1	1	6.1021
1	5	7	1	17	2	1	2.6404
1	6	22	1	16	1	1	0.9253
1	7	14	1	19	1	1	2.3718
1	8	13	1	9	2	1	7.4097
1	9	15	1	23	1	0	1.2926
1	10	2	1	1	1	1	3.1427
1	11	5	2	3	2	0	1.6
1	12	18	2	11	2	1	2.0528
