Session Trial TargetID ImageVersion DistractorID Response Correct ResposeTime
Session Trial TargetID ImageVersion DistractorID Response Correct ResposeTime
0 1 15 1 0 0 0 0.0000
0 2 22 1 0 0 0 0.0000
0 3 19 2 0 0 0 0.0000
0 4 8 1 0 0 0 0.0000
0 5 20 1 0 0 0 0.0000
0 6 1 1 0 0 0 0.0000
0 7 4 2 0 0 0 0.0000
0 8 23 2 0 0 0 0.0000
0 9 18 1 0 0 0 0.0000
0 10 17 1 0 0 0 0.0000
0 11 5 2 0 0 0 0.0000
0 12 3 1 0 0 0 0.0000
1 1 23 1 16 2 1 2.1427
1 2 8 2 7 2 1 2.1839
1 3 3 2 12 2 1 2.2482
1 4 18 2 11 2 1 1.5410
1 5 1 2 24 1 1 1.3110
1 6 20 2 14 1 1 1.9134
1 7 19 1 9 2 1 1.8119
1 8 22 2 13 1 0 3.8184
1 9 4 1 10 1 0 3.3443
1 10 15 2 21 1 0 5.4184
1 11 17 2 2 2 1 1.4090
1 12 5 1 6 2 1 1.5281
