Session Trial TargetID ImageVersion DistractorID Response Correct ResposeTime
0 1 6 2 0 0 0 0.0000
0 2 24 1 0 0 0 0.0000
0 3 11 2 0 0 0 0.0000
0 4 2 2 0 0 0 0.0000
0 5 21 1 0 0 0 0.0000
0 6 9 2 0 0 0 0.0000
0 7 13 2 0 0 0 0.0000
0 8 16 2 0 0 0 0.0000
0 9 23 1 0 0 0 0.0000
0 10 12 2 0 0 0 0.0000
0 11 1 1 0 0 0 0.0000
0 12 14 2 0 0 0 0.0000
1 1 16 1 20 1 1 1.2856
1 2 13 1 17 1 1 3.5840
1 3 1 2 19 2 1 3.0623
1 4 24 2 5 1 1 2.9140
1 5 9 1 4 1 0 8.1872
1 6 21 2 10 1 1 1.5460
1 7 14 1 15 2 1 3.0564
1 8 23 2 3 1 1 5.1243
1 9 11 1 7 2 1 1.6915
1 10 2 1 18 2 0 3.5886
1 11 12 1 8 1 1 6.3692
1 12 6 1 22 2 0 5.7211
