Session Trial TargetID ImageVersion DistractorID Response Correct ResposeTime
0 1 15 1 0 0 0 0.0000
0 2 4 2 0 0 0 0.0000
0 3 19 1 0 0 0 0.0000
0 4 10 1 0 0 0 0.0000
0 5 6 2 0 0 0 0.0000
0 6 2 2 0 0 0 0.0000
0 7 7 2 0 0 0 0.0000
0 8 22 2 0 0 0 0.0000
0 9 20 2 0 0 0 0.0000
0 10 23 2 0 0 0 0.0000
0 11 21 2 0 0 0 0.0000
0 12 24 2 0 0 0 0.0000
1 1 19 2 1 2 1 2.3578
1 2 6 1 12 1 0 5.0385
1 3 21 1 14 1 0 5.0663
1 4 22 1 18 2 1 6.2544
1 5 2 1 16 1 1 8.0500
1 6 7 1 9 1 1 4.1029
1 7 4 1 17 2 0 3.6239
1 8 23 1 5 2 1 4.0147
1 9 24 1 3 1 1 5.3238
1 10 15 2 13 1 1 4.4133
1 11 10 2 8 1 1 2.8507
1 12 20 1 11 1 1 3.2071
