Session Trial TargetID ImageVersion DistractorID Response Correct ResposeTime
0 1 9 2 0 0 0 0.0000
0 2 13 1 0 0 0 0.0000
0 3 22 2 0 0 0 0.0000
0 4 21 2 0 0 0 0.0000
0 5 5 2 0 0 0 0.0000
0 6 24 2 0 0 0 0.0000
0 7 20 2 0 0 0 0.0000
0 8 14 2 0 0 0 0.0000
0 9 11 2 0 0 0 0.0000
0 10 4 1 0 0 0 0.0000
0 11 23 2 0 0 0 0.0000
0 12 6 1 0 0 0 0.0000
1 1 9 1 7 1 0 4.1650
1 2 13 2 12 2 1 6.9707
1 3 22 1 19 2 1 3.4302
1 4 5 1 10 1 1 3.6064
1 5 23 1 18 2 1 4.8391
1 6 4 2 3 1 1 4.6296
1 7 20 1 15 1 0 2.8587
1 8 6 2 17 2 0 5.6057
1 9 14 1 1 2 0 3.4154
1 10 24 1 8 2 1 4.4200
1 11 11 1 2 1 0 5.2591
1 12 21 1 16 1 1 3.4916
