Session Trial TargetID ImageVersion DistractorID Response Correct ResposeTime
0 1 15 1 0 0 0 0.0000
0 2 16 1 0 0 0 0.0000
0 3 19 1 0 0 0 0.0000
0 4 3 2 0 0 0 0.0000
0 5 8 2 0 0 0 0.0000
0 6 2 1 0 0 0 0.0000
0 7 1 1 0 0 0 0.0000
0 8 12 2 0 0 0 0.0000
0 9 22 2 0 0 0 0.0000
0 10 9 1 0 0 0 0.0000
0 11 20 2 0 0 0 0.0000
0 12 21 2 0 0 0 0.0000
1 1 21 1 13 1 0 3.9772
1 2 2 2 24 1 1 11.0407
1 3 22 1 7 1 1 8.2417
1 4 8 1 14 1 0 15.1005
1 5 1 2 5 1 0 3.7920
1 6 19 2 4 2 1 6.1626
1 7 12 1 18 1 1 15.1414
1 8 16 2 11 1 0 10.5469
1 9 20 1 10 2 1 7.2256
1 10 9 2 23 2 1 12.8959
1 11 3 1 17 2 1 10.4518
1 12 15 2 6 2 1 12.6476
