Session Trial TargetID ImageVersion DistractorID Response Correct ResposeTime
0 1 16 2 0 0 0 0.0000
0 2 22 2 0 0 0 0.0000
0 3 11 1 0 0 0 0.0000
0 4 15 2 0 0 0 0.0000
0 5 3 1 0 0 0 0.0000
0 6 17 1 0 0 0 0.0000
0 7 19 2 0 0 0 0.0000
0 8 14 2 0 0 0 0.0000
0 9 10 2 0 0 0 0.0000
0 10 1 2 0 0 0 0.0000
0 11 20 1 0 0 0 0.0000
0 12 7 2 0 0 0 0.0000
1 1 20 2 2 3 3 0.0000
1 2 17 2 24 3 3 0.0000
1 3 19 1 4 3 3 0.0000
1 4 3 2 6 2 0 10.7570
1 5 10 1 23 2 0 0.5435
1 6 22 1 18 2 0 1.8762
1 7 16 1 9 3 3 0.0000
1 8 14 1 8 2 0 0.7600
1 9 7 1 13 3 3 0.0000
1 10 1 1 21 2 0 1.2235
1 11 15 1 5 3 3 0.0000
1 12 11 2 12 2 1 0.3728
