RECORDING_SESSION_LABEL	INDEX	AVERAGE_BLINK_DURATION	AVERAGE_FIXATION_DURATION	AVERAGE_SACCADE_AMPLITUDE	DURATION	FIXATION_COUNT	FIXATION_DURATION_MAX	FIXATION_DURATION_MAX_TIME	FIXATION_DURATION_MIN	FIXATION_DURATION_MIN_TIME	MEDIAN_FIXATION_DURATION	MEDIAN_SACCADE_AMPLITUDE	PUPIL_SIZE_MAX	SACCADE_COUNT	SD_FIXATION_DURATION	SD_SACCADE_AMPLITUDE
mgc_1	1	320.00	238.24	2.95	9809	34	480.00	3196755.00	96.00	3194091.00	222.00	1.77	5400.00	33	95.55	3.19
mgc_1	2	127.33	227.44	3.27	94613	344	1056.00	3263159.00	8.00	3265355.00	214.00	1.86	5013.00	343	134.11	3.90
mgc_1	3	43.43	230.77	3.28	49533	188	612.00	3344443.00	48.00	3341259.00	218.00	1.91	4929.00	187	101.47	3.66
mgc_1	4	57.00	218.83	3.76	31977	126	716.00	3354307.00	24.00	3350719.00	204.00	2.18	3817.00	125	103.33	4.11
mgc_1	5	48.00	243.46	3.63	48697	169	1192.00	3388427.00	28.00	3383931.00	216.00	2.10	5262.00	169	152.58	4.24
mgc_1	6	48.00	243.78	3.68	45733	163	808.00	3438671.00	24.00	3450047.00	224.00	2.10	4137.00	162	118.46	4.34
mgc_1	7	59.64	260.23	3.75	42721	139	1748.00	3483879.00	24.00	3501847.00	224.00	1.88	4556.00	138	198.55	4.66
mgc_1	8	42.93	217.57	3.67	41793	161	564.00	3525863.00	24.00	3527411.00	200.00	2.15	3677.00	160	101.51	4.34
mgc_1	9	228.00	277.33	14.29	1325	3	360.00	3558279.00	212.00	3558731.00	260.00	14.29	3031.00	2	75.51	8.84
mrp_1	1	88.00	235.83	3.16	96777	359	916.00	4327022.00	24.00	4339710.00	216.00	2.02	5987.00	358	109.79	3.48
mrp_1	2	63.48	211.86	3.02	102601	413	1044.00	4524662.00	24.00	4439622.00	192.00	1.72	5068.00	413	113.66	3.54
mrp_1	3	118.00	209.67	3.09	106713	433	728.00	4639550.00	28.00	4642930.00	204.00	1.91	5078.00	433	87.13	3.25
mrp_1	4	89.25	200.27	2.98	75177	313	724.00	4763522.00	24.00	4776570.00	196.00	1.78	5412.00	313	91.24	3.35
mrp_1	5	82.11	208.92	3.21	83753	336	648.00	4913062.00	28.00	4904954.00	194.00	1.98	4914.00	336	91.44	3.44
mrp_1	6	81.07	215.39	3.05	80401	315	612.00	5037742.00	32.00	5011850.00	204.00	1.85	5512.00	315	87.27	3.21
mrp_1	7	76.80	222.56	3.27	92289	353	884.00	5110070.00	24.00	5154210.00	204.00	2.09	5146.00	353	106.93	3.35
mrp_1	8	38.67	220.01	3.13	82105	324	812.00	5202154.00	52.00	5221746.00	208.00	1.93	5531.00	324	93.24	3.08
