RECORDING_SESSION_LABEL	INDEX	AVERAGE_BLINK_DURATION	AVERAGE_FIXATION_DURATION	AVERAGE_SACCADE_AMPLITUDE	DURATION	FIXATION_COUNT	FIXATION_DURATION_MAX	FIXATION_DURATION_MAX_TIME	FIXATION_DURATION_MIN	FIXATION_DURATION_MIN_TIME	MEDIAN_FIXATION_DURATION	MEDIAN_SACCADE_AMPLITUDE	PUPIL_SIZE_MAX	PUPIL_SIZE_MEAN	SACCADE_COUNT	SD_FIXATION_DURATION	SD_SACCADE_AMPLITUDE
ugp_1	1	936.00	223.38	2.31	137237	554	1980.00	10009800.00	28.00	10067780.00	204.00	1.33	2313.00	1385.81	553	111.47	3.21
ugp_1	2	410.00	234.22	2.19	120585	466	796.00	10224464.00	24.00	10263928.00	208.00	1.19	2046.00	1261.68	466	99.90	2.99
ugp_1	3	704.00	258.89	2.06	70601	248	1500.00	10334632.00	28.00	10332436.00	204.00	1.06	2096.00	1209.32	248	184.17	3.11
ugp_1	4	658.00	283.06	2.25	124313	399	1548.00	10484684.00	24.00	10446144.00	212.00	1.13	1980.00	1209.20	399	225.77	3.17
ugp_1	5	250.00	270.90	2.29	123065	412	2760.00	10550500.00	24.00	10572632.00	208.00	1.14	2531.00	1351.16	412	250.00	3.26
ugp_1	6	369.00	268.57	2.27	106173	358	2436.00	10739552.00	24.00	10718104.00	208.00	1.19	2815.00	1498.62	358	247.00	3.21
ugp_1	7	1360.00	312.46	2.20	106277	311	3324.00	10836080.00	24.00	10849100.00	212.00	1.10	2721.00	1450.72	310	346.19	2.96
urc_1	1	177.33	180.38	2.38	16869	74	444.00	5174513.00	12.00	5172593.00	176.00	1.21	1201.00	803.61	73	80.57	3.21
urc_1	2	97.59	214.04	2.38	146565	587	928.00	5299113.00	24.00	5335337.00	196.00	1.41	1236.00	827.25	586	89.26	2.99
urc_1	3	98.26	210.45	2.44	175053	700	1068.00	5459865.00	24.00	5336009.00	188.00	1.52	1261.00	784.34	700	103.06	2.97
urc_1	4	77.29	225.86	2.27	268025	1012	2184.00	5627069.00	20.00	5510933.00	200.00	1.41	1213.00	906.74	1012	138.02	2.76
urc_1	5	72.16	201.81	2.42	115889	488	676.00	5863473.00	28.00	5779785.00	192.00	1.47	1189.00	943.78	487	74.98	2.96
urc_1	6	74.78	206.63	2.45	125281	521	708.00	5974613.00	56.00	5913557.00	192.00	1.47	1754.00	956.52	520	78.91	3.18
urc_1	7	73.87	200.14	2.45	108205	459	524.00	6103093.00	44.00	6020681.00	188.00	1.49	1267.00	948.28	458	72.98	3.15
urc_1	8	69.93	210.57	2.36	125365	507	1084.00	6150805.00	24.00	6253097.00	196.00	1.39	1226.00	900.75	507	92.45	3.14
urc_1	9	58.64	200.56	2.46	96449	407	904.00	6302989.00	24.00	6335533.00	188.00	1.48	1299.00	964.19	406	86.13	2.99
