RECORDING_SESSION_LABEL	INDEX	AVERAGE_BLINK_DURATION	AVERAGE_FIXATION_DURATION	AVERAGE_SACCADE_AMPLITUDE	FIXATION_COUNT	FIXATION_DURATION_MAX	FIXATION_DURATION_MAX_TIME	FIXATION_DURATION_MIN	FIXATION_DURATION_MIN_TIME	MEDIAN_FIXATION_DURATION	MEDIAN_SACCADE_AMPLITUDE	SACCADE_COUNT	SD_FIXATION_DURATION	SD_SACCADE_AMPLITUDE
ggp_1	1	207.27	221.44	4.46	25	688.00	12317242.00	4.00	12313150.00	228.00	2.11	24	141.79	6.02
ggp_1	2	79.90	222.43	2.39	480	772.00	12372678.00	12.00	12459614.00	208.00	1.54	479	101.23	3.00
ggp_1	3	78.58	219.83	2.48	459	940.00	12522298.00	24.00	12604218.00	200.00	1.60	458	100.19	2.99
ggp_1	4	78.80	211.62	2.66	273	576.00	12747982.00	24.00	12718954.00	200.00	1.73	272	91.10	3.04
ggp_1	5	68.69	226.66	2.27	563	1044.00	12934514.00	24.00	12871430.00	212.00	1.40	562	115.32	2.89
ggp_1	6	71.39	220.75	2.43	504	1000.00	13027754.00	24.00	13068666.00	204.00	1.50	504	106.87	3.09
ggp_1	7	76.24	215.97	2.73	409	860.00	13197118.00	28.00	13244586.00	196.00	1.73	408	97.90	3.12
ggp_1	8	94.14	221.05	2.54	428	868.00	13420098.00	32.00	13365414.00	204.00	1.58	428	89.82	3.27
grc_2	1	217.33	208.50	4.90	16	308.00	3354034.00	108.00	3350966.00	216.00	3.51	15	65.14	4.04
grc_2	2	75.50	247.72	2.20	480	1128.00	3421590.00	28.00	3446430.00	216.00	1.38	479	132.49	2.88
grc_2	3	60.38	225.51	2.31	491	928.00	3546766.00	24.00	3580834.00	200.00	1.38	490	109.09	2.94
grc_2	4	67.26	235.97	2.16	636	1428.00	3674038.00	24.00	3677362.00	208.00	1.30	635	137.18	2.91
grc_2	5	68.91	226.80	2.34	581	1676.00	3911842.00	24.00	3827194.00	196.00	1.42	580	129.11	3.15
grc_2	6	66.45	244.34	2.12	715	1128.00	4007762.00	24.00	3985206.00	216.00	1.18	714	139.77	2.97
grc_2	7	74.68	235.77	2.13	725	1088.00	4320586.00	8.00	4331458.00	212.00	1.29	724	138.89	2.91
grc_2	8	61.85	229.88	2.44	566	1052.00	4449506.00	24.00	4359590.00	208.00	1.39	565	113.07	3.15
grc_2	9	57.42	222.44	2.57	381	956.00	4512278.00	24.00	4584818.00	208.00	1.61	381	97.42	3.20
grc_2	10	.	256.00	4.76	4	352.00	4598990.00	140.00	4599386.00	266.00	5.51	3	88.06	2.71
grc_2	11	342.67	303.08	5.91	13	720.00	4600410.00	32.00	4602202.00	284.00	5.80	12	195.16	4.28
