Session Trial TargetID ImageVersion DistractorID Response Correct ResposeTime
0 1 2 2 0 0 0 0.0000
0 2 10 2 0 0 0 0.0000
0 3 6 2 0 0 0 0.0000
0 4 1 1 0 0 0 0.0000
0 5 4 2 0 0 0 0.0000
1 1 2 1 9 1 0 9.1379
1 2 6 1 7 2 1 6.2987
1 3 1 2 8 1 1 8.1788
1 4 4 1 3 1 1 3.1424
1 5 10 1 5 2 1 3.7542
Session Trial TargetID ImageVersion DistractorID Response Correct ResposeTime
0 1 7 2 0 0 0 0.0000
0 2 10 2 0 0 0 0.0000
0 3 4 1 0 0 0 0.0000
0 4 8 2 0 0 0 0.0000
0 5 2 1 0 0 0 0.0000
1 1 8 1 1 2 0 7.4482
1 2 10 1 6 2 1 3.0460
1 3 4 2 3 1 1 1.6397
1 4 2 2 5 1 1 27.0987
1 5 7 1 9 1 1 2.7563
Session Trial TargetID ImageVersion DistractorID Response Correct ResposeTime
0 1 4 1 0 0 0 0.0000
0 2 9 2 0 0 0 0.0000
0 3 1 2 0 0 0 0.0000
0 4 10 1 0 0 0 0.0000
0 5 6 2 0 0 0 0.0000
1 1 4 2 5 2 0 3.2193
1 2 6 1 3 2 1 2.4349
1 3 1 1 7 2 1 4.8465
1 4 9 1 2 2 0 4.6620
1 5 10 2 8 2 0 3.3889
Session Trial TargetID ImageVersion DistractorID Response Correct ResposeTime
0 1 3 1 0 0 0 0.0000
0 2 5 1 0 0 0 0.0000
0 3 9 2 0 0 0 0.0000
0 4 6 2 0 0 0 0.0000
0 5 4 1 0 0 0 0.0000
1 1 4 2 2 2 1 9.5510
1 2 6 1 1 2 0 5.8547
1 3 3 2 8 2 1 1.8783
1 4 5 2 7 1 1 1.5517
1 5 9 1 10 1 1 1.2436
Session Trial TargetID ImageVersion DistractorID Response Correct ResposeTime
0 1 2 2 0 0 0 0.0000
0 2 1 2 0 0 0 0.0000
0 3 9 1 0 0 0 0.0000
0 4 6 1 0 0 0 0.0000
0 5 4 1 0 0 0 0.0000
1 1 6 2 3 2 1 4.9880
1 2 9 2 10 1 1 4.0770
1 3 1 1 7 2 1 3.0254
1 4 2 1 8 2 0 8.5862
1 5 4 2 5 2 1 2.3361
